ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval+Stemming,TASK1,60,0.03127,0.15385,0.05197,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,61,0.02639,0.20833,0.04684,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,62,0.1038,0.47619,0.17045,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,63,0.08817,0.25758,0.13137,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,64,0.06791,0.54167,0.12068,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,65,0.07304,0.23333,0.11125,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,66,0.03664,0.25926,0.06421,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,67,0.1043,0.39216,0.16478,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,68,0.09404,0.21429,0.13072,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,69,0.15633,0.34483,0.21513,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,70,0.16609,0.42667,0.2391,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,71,0.10943,0.33333,0.16477,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,72,0.15608,0.23097,0.18628,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,73,0.11944,0.45098,0.18886,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,74,0.1976,0.09819,0.13119,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,75,0.07353,0.23947,0.11252,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,76,0.09355,0.16667,0.11983,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,77,0.04152,0.14035,0.06408,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,78,0.16658,0.26463,0.20446,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,79,0.07304,0.38889,0.12298,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,80,0.06228,0.2,0.09499,3
ROUGE-1+StopWordRemoval+Stemming,TASK1,81,0.10968,0.41176,0.17322,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,82,0.13735,0.49123,0.21468,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,83,0.20029,0.26667,0.22876,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,84,0.06014,0.5,0.10736,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,85,0.0282,0.14286,0.04711,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,86,0.06393,0.39394,0.11001,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,87,0.22214,0.2,0.21049,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,88,0.06931,0.25926,0.10937,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,89,0.1041,0.25926,0.14855,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,90,0.03956,0.17778,0.06472,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,91,0.05888,0.15385,0.08516,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,92,0.07403,0.20833,0.10924,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,93,0.02118,0.08889,0.03421,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,94,0.03512,0.31548,0.0632,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,95,0.02057,0.07843,0.0326,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,96,0.00982,0.05128,0.01648,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,97,0.04555,0.1875,0.07329,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,98,0.04082,0.38095,0.07374,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,99,0.00538,0.06667,0.00995,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,100,0.00538,0.05556,0.0098,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,101,0.08066,0.19048,0.11333,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,102,0.08923,0.22792,0.12825,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,103,0.03035,0.28571,0.05487,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,104,0.06551,0.2549,0.10424,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,105,0.02469,0.27778,0.04535,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,106,0.03863,0.33333,0.06924,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,107,0.11359,0.19658,0.14399,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,108,0.10976,0.28205,0.15802,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,109,0.00982,0.09524,0.01781,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,110,0.01043,0.08929,0.01867,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,111,0.02974,0.5,0.05615,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,112,0.03035,0.16667,0.05135,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,113,0.0889,0.20498,0.12402,3
