ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval+Stemming,TASK1,1,0.05311,0.06748,0.05944,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,2,0,0,0,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,3,0.03151,0.03371,0.03257,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,4,0.0263,0.03205,0.02889,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,5,0.00521,0.01961,0.00823,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,6,0.00521,0.01333,0.00749,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,7,0,0,0,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,8,0.00521,0.04167,0.00926,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,9,0.0263,0.02874,0.02746,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,10,0,0,0,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,11,0,0,0,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,12,0.0263,0.07576,0.03904,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,13,0.00521,0.03704,0.00913,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,14,0.05311,0.05464,0.05387,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,15,0.00546,0.01667,0.00823,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,16,0,0,0,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,17,0.01588,0.07692,0.02633,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,18,0.02135,0.10256,0.03534,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,19,0.01588,0.25,0.02987,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,20,0.01588,0.04762,0.02382,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,21,0.0526,0.10101,0.06917,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,22,0.00546,0.02083,0.00866,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,23,0.04218,0.09524,0.05846,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,24,0.04218,0.04762,0.04473,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,25,0.02135,0.06061,0.03157,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,26,0,0,0,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,27,0,0,0,3
ROUGE-2+StopWordRemoval+Stemming,TASK1,28,0.0263,0.03823,0.03116,3
