ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval+Stemming,TASK1,1,0.03041,0.10526,0.04719,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,2,0.08041,0.10185,0.08987,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,3,0.04286,0.33333,0.07595,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,4,0.02949,0.07407,0.04219,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,5,0.03041,0.09762,0.04638,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,6,0.03134,0.15385,0.05207,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,7,0.0447,0.09091,0.05993,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,8,0.00714,0.04167,0.0122,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,9,0.02235,0.06926,0.0338,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,10,0,0,0,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,11,0.10369,0.16905,0.12854,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,12,0.02235,0.07393,0.03432,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,13,0.02857,0.02632,0.0274,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,14,0.00714,0.08333,0.01316,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,15,0.02235,0.06174,0.03282,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,16,0.0447,0.0657,0.0532,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,17,0.00714,0.01724,0.0101,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,18,0.00714,0.01562,0.0098,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,19,0,0,0,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,20,0,0,0,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,21,0.02235,0.1,0.03653,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,22,0.00806,0.01923,0.01136,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,23,0.0447,0.09186,0.06014,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,24,0.02235,0.04738,0.03037,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,25,0,0,0,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,26,0.01521,0.04257,0.02241,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,27,0.02235,0.08824,0.03567,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,28,0.01521,0.05409,0.02374,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,29,0.03041,0.11438,0.04805,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,30,0.01429,0.03846,0.02083,2
ROUGE-2+StopWordRemoval+Stemming,TASK1,31,0.00714,0.04545,0.01235,2
