ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval+Stemming,TASK1,1,0.12457,0.5,0.19945,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,2,0.16433,0.48913,0.24601,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,3,0.19508,0.48644,0.27848,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,4,0.03266,0.75,0.06259,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,5,0.07204,0.17241,0.10162,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,6,0.11098,0.36905,0.17065,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,7,0.07961,0.45833,0.13566,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,8,0.05815,0.32143,0.09848,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,9,0.0623,0.35417,0.10595,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,10,0.05841,0.4,0.10194,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,11,0.08309,0.33824,0.1334,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,12,0.08456,0.38333,0.13855,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,13,0.07049,0.31667,0.11531,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,14,0.04779,0.29545,0.08228,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,15,0.02962,0.18182,0.05094,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,16,0.11787,0.42105,0.18418,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,17,0.09757,0.44479,0.16003,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,18,0.1241,0.25758,0.1675,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,19,0.04841,0.24451,0.08081,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,20,0.11785,0.42105,0.18416,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,21,0.06123,0.2125,0.09507,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,22,0.11162,0.43056,0.17728,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,23,0.14146,0.34821,0.20119,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,24,0.09083,0.52083,0.15468,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,25,0.06858,0.43182,0.11837,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,26,0.15096,0.37963,0.21602,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,27,0.09714,0.27,0.14287,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,28,0.05492,0.41667,0.09705,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,29,0.07181,0.17857,0.10243,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,30,0.01646,0.06579,0.02633,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,31,0.01554,0.09545,0.02673,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,32,0.05061,0.175,0.07851,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,33,0.06313,0.32692,0.10583,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,34,0.07747,0.36354,0.12772,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,35,0.24341,0.54167,0.33588,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,36,0.14146,0.30469,0.19321,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,37,0.06532,0.23421,0.10215,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,38,0.06382,0.32143,0.1065,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,39,0.03329,0.25,0.05876,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,40,0.15333,0.26763,0.19496,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,41,0.02594,0.25,0.047,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,42,0.08159,0.13372,0.10135,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,43,0.10188,0.36842,0.15962,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,44,0.11072,0.29731,0.16135,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,45,0.07696,0.30392,0.12282,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,46,0.10233,0.35,0.15836,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,47,0.19403,0.24895,0.21809,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,48,0.06816,0.21591,0.10361,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,49,0.10145,0.21733,0.13833,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,50,0.04675,0.15476,0.07181,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,51,0.06311,0.30357,0.1045,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,52,0.09777,0.25962,0.14205,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,53,0.05776,0.125,0.07901,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,54,0.19599,0.18698,0.19138,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,55,0.03464,0.16667,0.05735,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,56,0.08045,0.17069,0.10936,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,57,0.00431,0.02778,0.00746,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,58,0.07226,0.29412,0.11602,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,59,0.09364,0.40625,0.1522,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,60,0.11699,0.4,0.18103,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,61,0.0465,0.125,0.06779,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,62,0.10451,0.42239,0.16756,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,63,0.0839,0.26136,0.12703,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,64,0.03137,0.15,0.05189,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,65,0.09238,0.325,0.14386,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,66,0.08435,0.44231,0.14169,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,67,0.05175,0.25,0.08575,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,68,0.10617,0.41563,0.16913,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,69,0.04693,0.27083,0.08,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,70,0.17555,0.51087,0.26131,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,71,0.15394,0.42,0.2253,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,72,0.09798,0.3375,0.15186,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,73,0.00431,0.05,0.00794,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,74,0.03245,0.20455,0.05602,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,75,0.03331,0.20455,0.0573,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,76,0.07353,0.25,0.11364,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,77,0.06035,0.1917,0.0918,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,78,0.13799,0.32759,0.19418,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,79,0.08392,0.30263,0.13141,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,80,0.05535,0.1875,0.08547,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,81,0.08738,0.33333,0.13846,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,82,0.03697,0.16354,0.06031,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,83,0.0374,0.15349,0.06014,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,84,0.06661,0.34615,0.11172,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,85,0.10923,0.22727,0.14755,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,86,0.01795,0.15625,0.0322,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,87,0.03654,0.3125,0.06543,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,88,0.0729,0.35714,0.12108,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,89,0.05839,0.33333,0.09938,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,90,0.04024,0.275,0.0702,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,91,0.04346,0.33333,0.0769,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,92,0.12237,0.43421,0.19093,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,93,0.09452,0.30952,0.14482,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,94,0.10723,0.38158,0.16741,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,95,0.09366,0.29545,0.14224,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,96,0.10355,0.4375,0.16747,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,97,0.06815,0.33929,0.11351,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,98,0.07592,0.13731,0.09778,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,99,0.05384,0.25,0.08859,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,100,0.07183,0.1087,0.0865,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,101,0.0751,0.40385,0.12665,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,102,0.12763,0.48611,0.20218,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,103,0.10012,0.3375,0.15443,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,104,0.0874,0.33333,0.13848,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,105,0.04949,0.18344,0.07795,4
