ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval+Stemming,TASK1,1,0.03293,0.14062,0.05337,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,2,0.0564,0.17045,0.08476,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,3,0.06806,0.1713,0.09742,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,4,0.01822,0.625,0.0354,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,5,0.01493,0.03571,0.02106,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,6,0.02986,0.1,0.04598,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,7,0.03251,0.20455,0.05611,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,8,0.01096,0.06469,0.01875,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,9,0.01493,0.09091,0.02564,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,10,0.0145,0.11111,0.02566,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,11,0.02899,0.125,0.04707,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,12,0.03667,0.17857,0.06084,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,13,0.02657,0.125,0.04382,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,14,0,0,0,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,15,0,0,0,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,16,0.02787,0.09722,0.04333,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,17,0.02174,0.10595,0.03608,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,18,0.01623,0.03125,0.02137,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,19,0,0,0,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,20,0.02174,0.08333,0.03448,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,21,0.01845,0.06579,0.02882,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,22,0.02986,0.11765,0.04763,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,23,0.02195,0.05556,0.03147,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,24,0.01493,0.09091,0.02564,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,25,0.01824,0.125,0.03183,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,26,0.03251,0.08654,0.04727,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,27,0.02195,0.0625,0.03249,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,28,0.01493,0.125,0.02667,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,29,0.01493,0.03704,0.02128,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,30,0,0,0,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,31,0,0,0,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,32,0.01493,0.05263,0.02326,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,33,0.02986,0.16667,0.05064,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,34,0.00987,0.05357,0.01667,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,35,0.0843,0.18966,0.11671,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,36,0.03667,0.08065,0.05041,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,37,0.01406,0.05556,0.02244,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,38,0.00658,0.03846,0.01124,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,39,0.00768,0.0625,0.01367,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,40,0.02986,0.05229,0.03801,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,41,0.00373,0.04167,0.00685,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,42,0.01141,0.01786,0.01392,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,43,0.00725,0.02778,0.0115,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,44,0.03841,0.10292,0.05595,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,45,0,0,0,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,46,0.02965,0.10526,0.04626,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,47,0.05994,0.07656,0.06724,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,48,0.02218,0.07143,0.03385,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,49,0.02503,0.0562,0.03463,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,50,0,0,0,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,51,0.01141,0.05769,0.01905,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,52,0.00725,0.02,0.01064,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,53,0.01493,0.03226,0.02041,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,54,0.05073,0.0492,0.04995,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,55,0,0,0,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,56,0.01845,0.04007,0.02527,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,57,0,0,0,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,58,0.01031,0.04688,0.0169,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,59,0,0,0,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,60,0.03468,0.11842,0.05365,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,61,0,0,0,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,62,0.02899,0.12408,0.047,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,63,0.01493,0.04762,0.02273,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,64,0.00329,0.01786,0.00556,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,65,0.02503,0.09211,0.03936,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,66,0.01845,0.10417,0.03135,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,67,0,0,0,4
